SDREDLOB3	15	Stardust	BLK			B
MFTUMMTB.8	15	MF - Tea	BLK			B
MFMIXENME	14	MF - Nuts	MED			E		4.18
MFMAPLELG	15	MF - Munchies	LRG			E		7.92
MFRASLFME	15	MF - Tea	MED			H		8.01
MFOOLONME	16	MF - Tea	MED			H		9.52
MFBUCKWB12	17	MF - Pantry (Bulk)	BLK			B
SDGREENSM	17	Stardust	SML			D		3.75
MFHAZELME	17	MF - Nuts	MED			E		6.60
MFIMMUNME	17	MF - Tea	MED			O		5.95
MFBLCUMSM	17	MF - Pantry	SML			H		4.77
MFBEETPSM	17	MF - Pantry	SML			H		8.72
MFKBBQMLG	18	MF - Munchies	LRG			E		7.07
MFEROLVXL	19	MF - Granola	XLG			E		13.36
MFTERIMME	18	MF - Munchies	MED			E		4.32
MFCACBPSM	19	MF - Granola	BAG			E		2.45
MFEROLVLG	18	MF - Granola	LRG			E		6.08
MFROOIBME	19	MF - Tea	MED			H		7.38
MFLAVENME	19	MF - Tea	MED			H		5.43
MFMAPLEB5	20	MF - Munchies	BLK			H		102.95
MFASHWPME	21	MF - Pantry	MED			D		11.22
MFTUMMTSM	21	MF - Tea	SML			H		3.57
MFMIXENXL	22	MF - Nuts	XLG			E		16.63
SDPCHOCLG	22	Stardust - Protein	LRG			O		10.41
MFCHIASME	22	MF - Pantry	MED			E		5.40
MFHEMPSME	23	MF - Pantry	MED			H		10.15
MFDMTEAME	23	MF - Tea	MED			H		3.71
MFTULSIME	23	MF - Tea	MED			H		4.94
FCORDYSM	25	Fungi	A			H		21.26
MFDMTEASM	25	MF - Tea	SML			H		6.87
MFROSEPSM	25	MF - Pantry	SML			H		4.28
MFSUNFSLG	25	MF - Pantry	LRG			O		4.98
MFBRAZNLG	25	MF - Nuts	LRG			E		9.66
MFCHILBB.8	25	MF - Tea	BLK			B		45.84
SDREDLOXL	26	Stardust	XLG			H		49.40
SDCACAOLG	26	Stardust	LRG			D		17.82
MFTURMEME	25	MF - Pantry	MED			D		6.87
MFLOTUSSM	26	MF - Pantry	SML			H		9.56
MFCASHELG	26	MF - Nuts	LRG			E		7.89
