Code,In family sheet?,Has BOM?,Has demand?,AVE /mo,Product Group,Current routing,Action needed
MFTULSIME,YES,YES,YES,66,MF - Tea,family sheet,(none)
MFBRAZNLG,YES,YES,YES,299,MF - Nuts,family sheet,(none)
MFCHILBB.8,no,YES,YES,6,MF - Tea,auto: hand-packing,add to family sheet for proper routing
SDREDLOXL,no,YES,YES,9,Stardust,auto: hand-packing,add to family sheet for proper routing
MFASHWPME,YES,YES,YES,182,MF - Pantry,family sheet,(none)
FCORDYSM,YES,YES,YES,43,Fungi,family sheet,(none)
MFCARDASM,YES,YES,YES,56,MF - Pantry,family sheet,(none)
MFLOTUSSM,YES,YES,YES,229,MF - Pantry,family sheet,(none)
MFTURMEME,YES,YES,YES,334,MF - Pantry,family sheet,(none)
MFCACBPB10,no,YES,YES,8,MF - Granola,auto: hand-packing,add to family sheet for proper routing
MFDMTEASM,YES,YES,YES,70,MF - Tea,family sheet,(none)
MFROSEPSM,YES,YES,YES,504,MF - Pantry,family sheet,(none)
SDCACAOLG,no,YES,YES,38,Stardust,auto: hand-packing,add to family sheet for proper routing
MFSESASSM,YES,YES,YES,128,MF - Pantry,family sheet,(none)
MFGOCHUME,YES,YES,YES,70,MF - Pantry,family sheet,(none)
MFCASHELG,YES,YES,YES,184,MF - Nuts,family sheet,(none)
MFSUNFSLG,YES,YES,YES,72,MF - Pantry,family sheet,(none)
MFDMTEAME,YES,YES,YES,350,MF - Tea,family sheet,(none)
MFCASHEB6,no,YES,YES,1,MF - Nuts,auto: hand-packing,add to family sheet for proper routing
MFCINNPME,YES,YES,YES,528,MF - Pantry,family sheet,(none)
MFMIXENSM,YES,YES,YES,463,MF - Nuts,family sheet,(none)
MFGOLDGLG,YES,YES,YES,375,MF - Granola,family sheet,(none)
MFCARCLSM,no,YES,YES,239,MF - Clusters,auto: hand-packing,add to family sheet for proper routing
MFSEEDMME,YES,YES,YES,636,MF - Pantry,family sheet,(none)
MFMACAPME,YES,YES,YES,162,MF - Pantry,family sheet,(none)
MFBRAZNME,YES,YES,YES,944,MF - Nuts,family sheet,(none)
MFMIXENINFYME,YES,YES,YES,158,MF - Nuts,family sheet,(none)
MFTERIMSM,YES,YES,YES,293,MF - Munchies,family sheet,(none)
MFMIXENINFYSM,YES,YES,YES,128,MF - Nuts,family sheet,(none)
MFCHILBSM,YES,YES,YES,401,MF - Tea,family sheet,(none)
MFPEPITME,YES,YES,YES,642,MF - Pantry,family sheet,(none)
MFTAMARME,YES,YES,YES,140,MF - Munchies,family sheet,(none)
MFLEMMPSM,YES,YES,YES,176,MF - Pantry,family sheet,(none)
MFTERIMB10,no,YES,YES,5,MF - Munchies,auto: hand-packing,add to family sheet for proper routing
MFMORINME,YES,YES,YES,121,MF - Pantry,family sheet,(none)
MFMACAPSM,YES,YES,YES,174,MF - Pantry,family sheet,(none)
MFWALNUME,YES,YES,no,,MFWALNUME,family sheet,add demand row
MFWALNUSM,YES,YES,YES,329,MF - Nuts,family sheet,(none)
MFGARLPSM,YES,YES,YES,119,MF - Pantry,family sheet,(none)
MFMORINSM,YES,YES,YES,164,MF - Pantry,family sheet,(none)
MFEROLVSM,no,YES,YES,174,MF - Granola,auto: hand-packing,add to family sheet for proper routing
MFALMONME,YES,YES,YES,789,MF - Nuts,family sheet,(none)
MFCASHEXL,no,YES,YES,46,MF - Nuts,auto: hand-packing,add to family sheet for proper routing
MFLIQUOME,YES,YES,YES,83,MF - Tea,family sheet,(none)
MFPEPITLG,YES,YES,YES,180,MF - Pantry,family sheet,(none)
MFCASHESM,YES,YES,YES,127,MF - Nuts,family sheet,(none)
MFPECANXL,no,YES,YES,29,MF - Nuts,auto: hand-packing,add to family sheet for proper routing
BULK-ABBNR-BOX,no,YES,YES,6,Bulk Products,auto: hand-packing,add to family sheet for proper routing
MFTAMARSM,no,YES,YES,270,MF - Munchies,auto: hand-packing,add to family sheet for proper routing
MFNUTMESM,YES,YES,YES,20,MF - Pantry,family sheet,(none)
MFTAMARLG,YES,YES,YES,21,MF - Munchies,family sheet,(none)
MFEROLVB9,no,YES,YES,7,MF - Granola,auto: hand-packing,add to family sheet for proper routing
MFWALNULG,YES,YES,YES,818,MF - Nuts,family sheet,(none)
MFCHERRME,YES,YES,YES,109,MF - Pantry,family sheet,(none)
MFPECANSM,YES,YES,YES,132,MF - Nuts,family sheet,(none)
